"Player","Team","FG","FGA","XPT","FPTS"
"Justin Tucker","BAL","31.2","34.5","40.2","133.8"
"Daniel Carlson","LV","32.2","35.7","36.9","133.5"
"Matt Gay","LAR","30.2","34.4","41.7","132.4"
"Tyler Bass","BUF","28.0","33.3","47.8","131.8"
"Harrison Butker","KC","27.9","31.4","47.5","131.2"
"Greg Joseph","MIN","30.3","34.9","39.3","130.2"
"Evan McPherson","CIN","29.7","34.3","40.8","129.8"
"Nick Folk","NE","29.9","33.3","38.8","128.4"
"Ryan Succop","TB","27.0","32.4","47.0","128.0"
"Rodrigo Blankenship","IND","28.8","33.9","41.0","127.4"
"Matt Prater","ARI","27.4","33.7","43.8","126.0"
"Mason Crosby","GB","26.8","32.9","45.4","125.7"
"Dustin Hopkins","LAC","26.4","30.9","45.4","124.6"
"Jonathan Garibay","DAL","26.4","31.6","45.2","124.3"
"Brandon McManus","DEN","27.9","32.7","40.4","124.2"
"Jake Elliott","PHI","27.9","32.4","39.7","123.3"
"Robbie Gould","SF","27.3","31.7","39.8","121.6"
"Chris Boswell","PIT","30.4","34.7","30.2","121.5"
"Riley Patterson","DET","26.0","30.0","39.0","117.0"
"Wil Lutz","NO","26.5","31.2","37.0","116.5"
"Graham Gano","NYG","28.3","32.4","31.2","116.2"
"Younghoe Koo","ATL","28.3","31.0","31.3","116.1"
"Jason Sanders","MIA","25.8","31.6","37.9","115.3"
"Randy Bullock","TEN","25.1","30.5","39.8","115.1"
"Lirim Hajrullahu","DAL","24.6","33.0","39.6","113.5"
"Cairo Santos","CHI","27.2","31.9","30.9","112.4"
"Joey Slye","WAS","26.3","31.1","32.1","110.9"
"Cade York","CLE","24.7","29.6","36.8","110.9"
"Zane Gonzalez","CAR","25.8","29.9","30.8","108.0"
"Austin Seibert","DET","25.0","30.1","32.6","107.6"
"Eddy Pineiro","NYJ","24.0","28.0","35.0","107.0"
"Jason Myers","SEA","23.3","28.8","33.8","103.6"
"Greg Zuerlein","NYJ","24.3","29.6","30.5","103.3"
"Ka'imi Fairbairn","HOU","24.4","29.3","28.3","101.4"
"Ryan Santoso","JAC","23.6","28.9","30.0","100.8"
""
""