"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Â ","","",""
"Jonathan Taylor","IND","330.7","1,681.8","15.1","42.6","355.8","2.0","2.7","300.4"
"Derrick Henry","TEN","379.0","1,747.1","12.5","26.6","204.6","0.8","3.1","269.0"
"Austin Ekeler","LAC","223.3","998.0","9.8","75.2","656.4","5.4","2.3","251.8"
"Christian McCaffrey","CAR","236.6","1,058.1","7.5","85.9","708.8","3.7","2.1","239.2"
"Dalvin Cook","MIN","281.8","1,278.3","9.8","48.6","363.5","1.5","2.7","226.8"
"Joe Mixon","CIN","288.1","1,194.8","9.9","44.6","306.8","2.4","2.0","220.4"
"Najee Harris","PIT","297.2","1,188.2","8.1","63.8","415.9","2.5","2.4","218.7"
"Alvin Kamara","NO","205.4","872.9","7.0","60.7","548.7","4.5","1.8","207.1"
"Nick Chubb","CLE","249.2","1,276.8","8.9","26.9","219.6","1.1","2.0","206.0"
"James Conner","ARI","228.7","930.3","10.6","42.1","331.7","2.1","2.1","198.3"
"Leonard Fournette","TB","220.6","927.4","8.9","62.0","412.1","2.1","1.9","196.6"
"Aaron Jones","GB","190.4","898.4","6.3","60.0","476.2","3.8","1.5","195.3"
"D'Andre Swift","DET","215.7","917.0","7.2","64.7","475.6","2.6","2.2","193.4"
"Javonte Williams","DEN","227.5","1,021.4","6.9","46.4","338.8","2.8","2.0","190.1"
"David Montgomery","CHI","254.3","1,021.7","7.7","44.9","336.4","1.8","1.9","188.9"
"Cam Akers","LAR","254.2","1,106.1","7.3","36.9","292.9","1.6","3.4","186.4"
"Saquon Barkley","NYG","233.7","968.4","6.1","56.1","398.2","2.4","2.0","183.6"
"Antonio Gibson","WAS","241.8","1,022.5","7.9","36.1","251.5","2.0","2.8","181.0"
"Ezekiel Elliott","DAL","227.2","961.5","8.1","40.6","264.1","2.0","1.5","180.1"
"Elijah Mitchell","SF","260.6","1,129.0","7.8","21.9","156.2","1.2","1.8","178.5"
"Josh Jacobs","LV","242.5","1,001.6","8.8","35.5","249.8","0.6","1.9","177.9"
"J.K. Dobbins","BAL","193.3","969.5","8.1","32.6","237.3","1.1","1.5","173.1"
"Breece Hall","NYJ","218.5","953.7","5.9","36.8","292.4","1.5","2.0","165.1"
"Damien Harris","NE","216.4","958.6","9.8","15.0","110.9","0.3","1.9","163.4"
"Miles Sanders","PHI","205.9","1,013.5","4.9","31.6","225.9","1.3","2.0","157.2"
"Travis Etienne Jr.","JAC","175.5","761.5","5.0","49.7","398.8","2.0","1.9","154.5"
"Devin Singletary","BUF","187.1","854.5","5.9","34.1","218.0","1.3","1.7","147.6"
"Cordarrelle Patterson","ATL","145.2","608.7","4.5","44.4","425.5","3.0","1.3","145.5"
"AJ Dillon","GB","175.3","767.6","5.7","28.7","230.9","1.3","1.4","139.2"
"Tony Pollard","DAL","151.0","742.3","3.6","44.4","343.1","1.9","1.4","138.7"
"Clyde Edwards-Helaire","KC","162.7","717.5","4.9","36.8","272.1","2.1","1.4","138.6"
"Kareem Hunt","CLE","134.3","608.1","4.9","45.6","359.5","2.0","1.2","135.5"
"Rashaad Penny","SEA","173.6","846.6","5.6","14.6","108.5","0.3","1.2","128.6"
"Melvin Gordon III","DEN","157.6","699.7","6.1","22.2","160.3","1.1","1.8","125.3"
"Rhamondre Stevenson","NE","167.9","719.3","5.8","22.7","176.5","0.5","1.4","124.5"
"Chase Edmonds","MIA","135.4","614.1","3.2","46.5","327.4","1.6","1.3","119.9"
"James Robinson","JAC","146.8","649.6","5.2","22.4","162.5","0.9","1.5","114.8"
"Ken Walker III","SEA","157.5","701.8","4.5","20.5","161.2","0.6","1.8","113.2"
"Michael Carter","NYJ","122.8","521.7","3.0","34.0","288.6","1.1","1.2","103.0"
"Gus Edwards","BAL","139.4","688.7","4.2","11.4","99.2","0.3","1.3","102.8"
"Ronald Jones II","KC","137.4","604.1","5.1","14.3","102.1","0.5","1.4","101.3"
"Raheem Mostert","MIA","119.0","573.0","3.8","17.9","140.2","0.9","0.8","97.7"
"Jamaal Williams","DET","143.1","581.4","3.3","22.2","142.5","0.8","1.2","94.1"
"Marlon Mack","HOU","153.0","616.4","3.7","16.1","107.7","0.2","1.2","93.4"
"James Cook","BUF","99.1","439.9","3.2","30.0","233.7","1.5","1.3","93.2"
"Darrell Henderson Jr.","LAR","113.3","482.4","3.9","21.0","153.2","1.3","1.1","92.2"
"Dameon Pierce","HOU","130.1","513.5","3.4","21.9","171.8","0.8","1.8","89.7"
"Alexander Mattison","MIN","117.8","489.1","2.8","25.1","184.9","1.0","1.2","87.6"
"Mark Ingram II","NO","132.5","509.9","3.7","18.7","133.4","0.6","1.3","87.1"
"Kenneth Gainwell","PHI","87.8","381.1","3.9","26.3","202.4","1.2","1.3","86.2"
"Nyheim Hines","IND","60.9","277.8","1.7","50.1","386.6","2.0","2.4","83.9"
"Kenyan Drake","LV","88.8","377.5","3.1","27.3","217.7","0.9","0.7","82.3"
"J.D. McKissic","WAS","55.0","246.8","1.7","46.1","368.7","1.7","0.7","81.1"
"Tyler Allgeier","ATL","111.7","444.1","2.7","19.0","153.1","0.7","1.7","77.0"
"Isaiah Spiller","LAC","93.6","398.0","2.7","19.7","148.5","1.2","0.6","76.9"
"Rachaad White","TB","91.6","373.2","3.5","18.2","141.7","0.8","1.2","74.8"
"Darrel Williams","ARI","90.1","343.8","3.0","23.1","195.6","0.8","1.2","74.2"
"Rex Burkhead","HOU","80.1","305.3","2.4","29.6","230.0","1.1","0.7","72.8"
"Damien Williams","ATL","89.6","361.5","2.8","22.5","160.2","1.0","1.2","72.8"
"Brian Robinson Jr.","WAS","94.3","404.8","3.0","13.0","97.4","0.5","1.2","68.8"
"James White","NE","37.2","148.0","1.1","43.7","344.8","2.2","0.2","68.7"
"Sony Michel","MIA","103.4","431.9","2.5","8.9","57.4","0.2","0.7","63.4"
"Khalil Herbert","CHI","89.8","377.8","2.0","13.9","101.0","0.3","1.2","59.6"
"Jerick McKinnon","KC","39.1","161.2","1.3","30.3","238.5","1.6","0.3","56.6"
"Matt Breida","NYG","77.0","338.5","1.7","12.8","99.2","0.7","1.7","54.6"
"Ryan Nall","DAL","109.0","322.0","2.0","10.0","63.0","1.0","1.0","54.5"
"Samaje Perine","CIN","68.4","291.9","1.5","17.5","122.0","0.6","0.6","52.6"
"Dontrell Hilliard","TEN","47.3","239.4","1.7","25.8","162.3","0.5","0.7","51.9"
"D'Onta Foreman","CAR","77.8","327.1","2.2","6.1","56.3","0.1","0.7","50.9"
"Boston Scott","PHI","61.4","268.3","2.9","7.3","52.0","0.2","0.2","50.3"
"Zamir White","LV","62.3","269.4","2.3","7.5","54.5","0.2","0.3","47.0"
"Chuba Hubbard","CAR","61.0","229.4","1.8","15.7","112.7","0.5","0.6","46.5"
"Tyrion Davis-Price","SF","53.7","230.7","1.9","5.1","36.5","0.2","0.3","38.6"
"Ke'Shawn Vaughn","TB","52.4","220.4","2.2","5.3","35.4","0.1","0.7","38.4"
"Kyle Juszczyk","SF","12.9","46.9","0.8","22.7","207.7","1.3","0.1","37.6"
"Chris Carson","SEA","45.3","201.1","1.6","9.0","63.2","0.2","0.0","37.4"
"Jeff Wilson Jr.","SF","42.4","177.1","1.6","10.5","77.1","0.4","0.2","37.1"
"Brandon Bolden","LV","32.3","143.3","0.8","17.8","162.7","0.5","1.0","36.0"
"Hassan Haskins","TEN","46.2","202.8","1.2","7.9","60.9","0.3","0.1","34.9"
"Craig Reynolds","DET","40.7","180.4","0.7","12.5","94.6","0.5","0.6","33.9"
"Giovani Bernard","TB","22.4","86.7","0.5","21.5","145.2","1.2","0.1","32.9"
"Jaret Patterson","WAS","44.3","180.7","1.5","7.3","53.4","0.1","1.0","31.0"
"Joshua Kelley","LAC","58.3","209.4","1.3","5.9","41.6","0.1","1.6","30.8"
"Duke Johnson Jr.","BUF","30.2","148.3","1.2","7.9","72.8","0.3","0.5","30.3"
"Phillip Lindsay","IND","41.5","187.7","1.2","3.6","25.9","0.1","0.0","29.6"
"Chris Evans","CIN","22.8","94.4","0.5","15.2","113.1","0.8","0.2","28.2"
"Benny Snell Jr.","PIT","44.1","169.2","1.0","6.0","42.4","0.2","0.2","27.6"
"D'Ernest Johnson","CLE","31.9","155.4","1.1","6.4","48.3","0.1","0.1","27.3"
"Tony Jones Jr.","NO","34.7","137.2","1.0","3.9","32.7","0.1","0.0","23.2"
"Jermar Jefferson","DET","21.7","98.1","1.4","4.4","30.5","0.1","0.0","21.7"
"Snoop Conner","JAC","21.6","89.2","0.7","9.2","68.4","0.3","0.1","21.6"
"DeeJay Dallas","SEA","16.2","66.9","0.6","12.5","79.8","0.5","0.2","20.9"
"Eno Benjamin","ARI","26.5","108.6","0.8","5.3","38.2","0.1","0.2","19.8"
"Zack Moss","BUF","26.3","103.2","0.8","4.6","32.3","0.2","0.0","19.3"
"Justice Hill","BAL","27.6","109.1","0.6","7.5","53.4","0.2","1.0","19.1"
"Tevin Coleman","NYJ","27.9","109.1","0.5","7.8","53.3","0.2","0.5","19.1"
"Travis Homer","SEA","16.9","93.1","0.5","6.4","52.3","0.1","0.0","18.3"
"Mike Davis","BAL","24.4","106.9","0.5","5.5","34.6","0.2","0.1","18.1"
"Tyler Badie","BAL","25.3","130.1","0.6","2.9","24.0","0.0","0.5","18.1"
"Pierre Strong Jr.","NE","23.7","100.8","0.7","4.0","31.6","0.1","0.0","18.1"
"Ameer Abdullah","LV","13.0","46.6","0.1","10.9","87.2","0.6","0.0","17.5"
"Myles Gaskin","MIA","22.0","88.9","0.7","5.5","39.4","0.1","0.0","17.5"
"Gary Brightwell","NYG","20.6","83.7","0.7","6.0","43.0","0.1","0.1","17.2"
"Ty'Son Williams","IND","19.9","100.9","0.6","3.5","29.7","0.1","0.0","17.1"
"Mike Boone","DEN","15.0","83.2","0.9","3.5","25.1","0.1","0.0","16.7"
"Royce Freeman","HOU","17.3","70.7","0.4","8.5","55.5","0.3","0.0","16.6"
"Isaih Pacheco","KC","20.0","89.8","0.7","3.6","29.9","0.1","0.0","16.5"
"Keaontay Ingram","ARI","23.1","94.0","0.7","3.1","26.9","0.0","0.0","16.4"
"Kyren Williams","LAR","18.6","74.9","0.8","4.6","35.1","0.0","0.1","15.8"
"Patrick Ricard","BAL","2.7","8.2","0.1","12.1","85.3","1.0","0.0","15.4"
"Trestan Ebner","CHI","15.5","65.3","0.5","5.7","41.7","0.2","0.1","15.0"
"J.J. Taylor","NE","22.4","65.4","1.2","1.5","8.2","0.1","0.0","14.7"
"Kevin Harris","NE","19.6","83.6","0.6","3.0","24.3","0.0","0.0","14.5"
"Dare Ogunbowale","HOU","9.6","39.0","0.3","9.0","67.8","0.3","0.1","13.9"
"Abram Smith","NO","20.5","85.1","0.6","1.9","13.8","0.1","0.1","13.9"
"Jerome Ford","CLE","17.0","86.3","0.5","2.0","18.5","0.0","0.0","13.7"
"Rico Dowdle","DAL","16.6","69.2","0.5","3.6","27.3","0.1","0.0","13.3"
"Trey Sermon","SF","14.8","60.1","0.5","4.6","30.7","0.2","0.0","13.3"
"Demetric Felton Jr.","CLE","4.8","18.9","0.1","6.6","66.9","0.7","0.0","13.2"
"Johnny Stanton","CLE","6.7","29.8","0.4","5.3","36.1","0.7","0.0","13.1"
"Ty Chandler","MIN","18.0","76.7","0.6","2.0","19.5","0.0","0.0","13.0"
"Tory Carter","TEN","9.5","44.5","0.5","6.9","49.4","0.1","0.0","12.9"
"JaMycal Hasty","SF","11.0","46.6","0.6","5.9","41.0","0.1","0.0","12.8"
"Andy Janovich","HOU","8.7","34.6","0.2","8.2","63.6","0.3","0.0","12.6"
"Qadree Ollison","ATL","12.6","51.2","0.4","5.7","39.2","0.2","0.1","12.4"
"Kene Nwangwu","MIN","13.8","58.1","0.4","4.3","30.5","0.2","0.1","12.4"
"Jake Funk","LAR","14.4","60.3","0.5","3.3","23.7","0.2","0.1","12.2"
"Larry Rountree III","LAC","15.5","70.7","0.4","2.6","19.9","0.1","0.0","12.2"
"Keith Smith","ATL","8.1","32.7","0.2","7.9","54.2","0.3","0.1","11.6"
"Dwayne Washington","NO","14.7","63.6","0.4","2.9","21.1","0.1","0.1","11.5"
"Anthony McFarland Jr.","PIT","12.8","53.1","0.4","3.2","23.6","0.1","0.1","10.3"
"Ty Johnson","NYJ","8.0","33.4","0.2","5.7","45.0","0.2","0.1","10.2"
"Trenton Cannon","TEN","7.5","30.1","0.2","5.7","43.7","0.2","0.0","9.8"
"C.J. Ham","MIN","5.4","21.9","0.1","6.5","48.8","0.3","0.1","9.6"
"Godwin Igwebuike","DET","8.2","35.0","0.3","4.0","29.4","0.2","0.1","8.9"
"Derrick Gore","KC","4.4","17.9","0.2","4.7","36.2","0.3","0.0","8.2"
"Patrick Taylor Jr.","GB","8.0","33.8","0.3","3.2","23.0","0.1","0.1","8.0"
"Darrynton Evans","CHI","8.2","34.8","0.3","2.7","20.9","0.1","0.1","8.0"
"Jakob Johnson","LV","4.0","16.5","0.2","4.4","32.7","0.3","0.1","7.2"
"Andrew Beck","DEN","4.7","18.9","0.2","4.4","31.9","0.2","0.0","7.1"
"Trey Edmunds","PIT","4.4","17.6","0.2","4.5","32.6","0.2","0.0","7.1"
"Jordan Wilkins","TEN","5.2","21.9","0.2","3.9","28.1","0.2","0.0","7.0"
"Alec Ingold","MIA","4.3","17.4","0.2","4.4","31.3","0.2","0.1","7.0"
"Mekhi Sargent","JAC","4.5","17.8","0.2","4.2","32.0","0.2","0.0","7.0"
"Giovanni Ricci","CAR","4.5","18.1","0.1","4.1","31.3","0.2","0.0","6.8"
"Kylin Hill","GB","6.6","26.8","0.2","3.2","23.1","0.1","0.0","6.8"
"Alex Armah Jr.","WAS","4.8","18.9","0.2","3.9","27.9","0.2","0.0","6.7"
"Antonio Williams","NYG","7.4","32.2","0.3","2.1","15.0","0.1","0.1","6.7"
"Michael Burton","KC","5.8","23.6","0.3","2.3","17.1","0.2","0.0","6.4"
"La'Mical Perine","NYJ","4.3","17.2","0.2","3.9","27.4","0.2","0.0","6.4"
"Deon Jackson","IND","8.7","37.4","0.3","1.0","6.9","0.0","0.1","6.4"
"Jason Cabinda","DET","3.3","13.6","0.1","4.1","30.2","0.2","0.0","6.2"
"Trayveon Williams","CIN","4.4","17.9","0.1","4.2","29.2","0.2","0.0","6.1"
"Mataeo Durant","PIT","7.4","30.8","0.2","2.1","14.3","0.1","0.0","6.1"
"Ryquell Armstead","JAC","4.9","19.9","0.2","2.8","22.2","0.1","0.0","5.9"
"Jason Huntley","PHI","6.6","28.3","0.2","1.7","11.9","0.1","0.1","5.7"
"Derek Watt","PIT","2.2","8.7","0.1","4.4","32.9","0.2","0.0","5.7"
"Khari Blasingame","CHI","2.4","9.8","0.1","3.8","29.4","0.2","0.0","5.6"
"Adam Prentice","NO","4.4","18.7","0.1","2.0","14.7","0.1","0.0","5.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","4.4","32.6","0.2","0.0","4.6"
"Nick Bawden","NYJ","0.0","0.0","0.0","4.3","31.5","0.2","0.0","4.4"
"Gabe Nabers","LAC","4.4","18.9","0.2","0.0","0.0","0.0","0.0","2.9"
"Devine Ozigbo","NO","0.6","2.4","0.0","0.2","1.8","0.0","0.0","0.6"
"Damarea Crockett","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Williams","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nathan Cottrell","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Lovett","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Spencer Brown","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gerrid Doaks","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nate McCrary","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Taiwan Jones","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Kelly","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kenjon Barner","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Bonnafon","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Darius Bradwell","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""